no_attack, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.90025, 0.90075, 0.90325, 0.90925, 0.91575, 0.925, 0.931, 0.92975, 0.93125, 0.93, 0.93825, 0.93675, 0.936, 0.93475, 0.9395, 0.9435, 0.94225, 0.9425, 0.94725, 0.948, 0.94575, 0.94775, 0.94775, 0.94775, 0.95, 0.9495, 0.94875, 0.95025, 0.9525, 0.953, 0.953, 0.9525, 0.9525, 0.9525, 0.9505, 0.951, 0.95, 0.952, 0.952, 0.9535, 0.95425, 0.95675, 0.958, 0.95775, 0.9575, 0.95925, 0.95925, 0.95825, 0.95875, 0.957, 0.9585, 0.958, 0.957, 0.957, 0.95825, 0.95825, 0.9575, 0.96, 0.959, 0.959, 0.959, 0.9575, 0.95725, 0.95775, 0.9595, 0.96025, 0.9595, 0.9595, 0.96025, 0.9605, 0.96225, 0.961, 0.962, 0.962, 0.96125, 0.96, 0.9595, 0.96375, 0.96225, 0.96225, 0.96325, 0.962, 0.96125, 0.9625, 0.96325, 0.96275, 0.96375, 0.9635, 0.9635, 0.9645, 0.96375, 0.963, 0.96325, 0.9635, 0.9635, 0.964, 0.96425, 0.9625, 0.9635, 0.96325, 0.9635, 0.96625, 0.964, 0.96425, 0.963, 0.9635, 0.963, 0.96575, 0.96525, 0.963, 0.964, 0.9645, 0.9645
0.2backdoor, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9005, 0.903, 0.89625, 0.887, 0.89075, 0.90375, 0.908, 0.90975, 0.9095, 0.91, 0.91125, 0.90875, 0.90375, 0.9045, 0.90475, 0.907, 0.91125, 0.90975, 0.912, 0.921, 0.9325, 0.92225, 0.923, 0.9265, 0.9275, 0.922, 0.92975, 0.9335, 0.935, 0.935, 0.9375, 0.93925, 0.9355, 0.933, 0.927, 0.92425, 0.92825, 0.93175, 0.93925, 0.93975, 0.9385, 0.93925, 0.9375, 0.93825, 0.93975, 0.93925, 0.94, 0.93975, 0.93625, 0.93625, 0.93725, 0.9365, 0.938, 0.9395, 0.93925, 0.93775, 0.9405, 0.94, 0.94, 0.9385, 0.941, 0.94025, 0.94025, 0.93975, 0.93775, 0.93825, 0.93975, 0.942, 0.94275, 0.9445, 0.94175, 0.94275, 0.942, 0.94175, 0.9425, 0.94225, 0.9415, 0.941, 0.94225, 0.9455, 0.94475, 0.94375, 0.9455, 0.945, 0.94575, 0.94475, 0.945, 0.9425, 0.945, 0.94175, 0.94175, 0.944, 0.94475, 0.94625, 0.94525, 0.9465, 0.94725, 0.94625, 0.94425, 0.94525, 0.94275, 0.94575, 0.9465, 0.94725, 0.9495, 0.949, 0.947, 0.9475, 0.94725, 0.94825, 0.947, 0.94675, 0.9465, 0.9475, 0.94925
0.5backdoor, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.8845, 0.86125, 0.8415, 0.832, 0.8255, 0.82175, 0.82025, 0.8205, 0.82875, 0.83525, 0.83525, 0.83425, 0.835, 0.83325, 0.8325, 0.832, 0.832, 0.8325, 0.83375, 0.8355, 0.8355, 0.8375, 0.8385, 0.8395, 0.84075, 0.84075, 0.84225, 0.843, 0.84425, 0.846, 0.847, 0.84975, 0.856, 0.8585, 0.86025, 0.858, 0.8585, 0.86, 0.862, 0.862, 0.86125, 0.8605, 0.86025, 0.8605, 0.86225, 0.8625, 0.862, 0.863, 0.863, 0.8645, 0.8645, 0.865, 0.86425, 0.8645, 0.86325, 0.86425, 0.86425, 0.86375, 0.86325, 0.863, 0.8635, 0.863, 0.864, 0.8645, 0.8645, 0.86475, 0.8645, 0.865, 0.866, 0.8645, 0.8645, 0.8645, 0.8645, 0.86425, 0.86425, 0.864, 0.8645, 0.86425, 0.8645, 0.8645, 0.864, 0.865, 0.865, 0.865, 0.865, 0.865, 0.865, 0.865, 0.86525, 0.865, 0.865, 0.865, 0.864, 0.8645, 0.8645, 0.8645, 0.86525, 0.865, 0.865, 0.865, 0.865, 0.865, 0.865, 0.8655, 0.865, 0.86525, 0.86525, 0.865, 0.865, 0.865, 0.865, 0.865, 0.865, 0.8655
100_same-value_attack, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.901, 0.90525, 0.9075, 0.91425, 0.921, 0.9285, 0.9255, 0.926, 0.924, 0.927, 0.93225, 0.94325, 0.945, 0.94475, 0.94925, 0.94925, 0.94925, 0.949, 0.94775, 0.949, 0.94875, 0.9485, 0.951, 0.952, 0.9555, 0.95325, 0.95475, 0.9525, 0.95175, 0.953, 0.952, 0.95425, 0.95325, 0.95325, 0.95275, 0.954, 0.95525, 0.95525, 0.95575, 0.95575, 0.95375, 0.954, 0.95325, 0.955, 0.9565, 0.957, 0.957, 0.9555, 0.9555, 0.95525, 0.958, 0.95875, 0.95675, 0.95925, 0.9555, 0.9545, 0.9565, 0.95725, 0.95975, 0.9575, 0.959, 0.9585, 0.961, 0.95825, 0.9555, 0.95675, 0.95825, 0.9595, 0.9595, 0.95925, 0.96075, 0.9575, 0.9595, 0.959, 0.96025, 0.959, 0.9595, 0.95725, 0.95925, 0.96025, 0.96, 0.959, 0.96125, 0.95975, 0.96075, 0.96, 0.96, 0.9595, 0.96125, 0.9615, 0.959, 0.96025, 0.96, 0.96025, 0.9595, 0.96175, 0.961, 0.962, 0.96175, 0.96225, 0.9615, 0.9605, 0.96125, 0.961, 0.96175, 0.9615, 0.9615, 0.96275, 0.96225, 0.962, 0.96225, 0.96075
gradient-ascent_attack, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9005, 0.89375, 0.88275, 0.875, 0.875, 0.87825, 0.875, 0.87525, 0.8815, 0.88575, 0.88625, 0.90825, 0.90925, 0.9155, 0.916, 0.9215, 0.926, 0.92025, 0.9225, 0.919, 0.91675, 0.9155, 0.91225, 0.9145, 0.9155, 0.9185, 0.92375, 0.93175, 0.93325, 0.93075, 0.93075, 0.9235, 0.91825, 0.92225, 0.92475, 0.93425, 0.9375, 0.9365, 0.933, 0.93, 0.927, 0.927, 0.92775, 0.928, 0.92925, 0.929, 0.93025, 0.928, 0.92, 0.91325, 0.91225, 0.912, 0.91825, 0.92225, 0.9305, 0.93325, 0.936, 0.93625, 0.93675, 0.93475, 0.93325, 0.93225, 0.92875, 0.9285, 0.9275, 0.92975, 0.93325, 0.93275, 0.935, 0.93425, 0.9345, 0.93475, 0.934, 0.93425, 0.9335, 0.9325, 0.93525, 0.9355, 0.93875, 0.93525, 0.9375, 0.939, 0.9335, 0.92775, 0.93275, 0.93575, 0.934, 0.9355, 0.93575, 0.934, 0.93475, 0.93325, 0.93325, 0.933, 0.933, 0.93375, 0.93475, 0.93525, 0.93475, 0.93575, 0.935, 0.9355, 0.93475, 0.93325, 0.9345, 0.93325, 0.93225, 0.928, 0.92575, 0.92575, 0.933, 0.936, 0.93575
random_data, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.90025, 0.90475, 0.911, 0.92125, 0.92525, 0.92475, 0.92725, 0.93375, 0.93925, 0.94275, 0.94, 0.939, 0.94075, 0.94075, 0.9395, 0.942, 0.94475, 0.9475, 0.948, 0.9485, 0.94825, 0.9475, 0.949, 0.949, 0.9515, 0.95425, 0.951, 0.95325, 0.9545, 0.954, 0.9535, 0.95375, 0.9555, 0.95675, 0.9585, 0.95725, 0.95525, 0.95875, 0.961, 0.95975, 0.959, 0.95875, 0.9585, 0.95675, 0.96, 0.9595, 0.95875, 0.95825, 0.96, 0.95825, 0.9585, 0.96025, 0.95925, 0.959, 0.95925, 0.9615, 0.96025, 0.961, 0.96125, 0.95975, 0.96075, 0.9615, 0.96175, 0.9585, 0.9615, 0.96, 0.96, 0.95975, 0.9605, 0.9605, 0.961, 0.96175, 0.96225, 0.96275, 0.9635, 0.96175, 0.96225, 0.96225, 0.962, 0.96275, 0.96375, 0.9655, 0.966, 0.96525, 0.96575, 0.96675, 0.9665, 0.96425, 0.966, 0.96675, 0.96575, 0.96875, 0.967, 0.96525, 0.964, 0.96175, 0.965, 0.9655, 0.97, 0.9695, 0.9645, 0.96975, 0.9695, 0.96625, 0.966, 0.9655, 0.96625, 0.96525, 0.96875, 0.97075
same_data, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.90025, 0.9055, 0.908, 0.91075, 0.91525, 0.93275, 0.93725, 0.93325, 0.92875, 0.92775, 0.933, 0.94525, 0.94225, 0.945, 0.94925, 0.95075, 0.94925, 0.95075, 0.9495, 0.95025, 0.954, 0.95425, 0.953, 0.95225, 0.951, 0.95075, 0.951, 0.953, 0.95325, 0.9565, 0.95475, 0.9555, 0.95575, 0.957, 0.9565, 0.95575, 0.957, 0.95625, 0.95575, 0.95775, 0.95775, 0.958, 0.958, 0.96, 0.9595, 0.9575, 0.9605, 0.95925, 0.9585, 0.95925, 0.95775, 0.9595, 0.96, 0.95925, 0.96, 0.959, 0.96, 0.958, 0.95925, 0.961, 0.959, 0.9585, 0.9605, 0.95875, 0.9605, 0.95925, 0.95925, 0.9605, 0.9605, 0.963, 0.9615, 0.9605, 0.9635, 0.96125, 0.9635, 0.9635, 0.96425, 0.9615, 0.9625, 0.96175, 0.9645, 0.96375, 0.9615, 0.96425, 0.96325, 0.9625, 0.964, 0.96375, 0.9625, 0.96475, 0.96375, 0.96225, 0.9635, 0.963, 0.963, 0.964, 0.963, 0.964, 0.9635, 0.9635, 0.96425, 0.964, 0.963, 0.9645, 0.964, 0.96475, 0.965, 0.964, 0.9635, 0.96325, 0.96175, 0.96425
sign-flipping_attack, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.89825, 0.89275, 0.88575, 0.88025, 0.88075, 0.87875, 0.8785, 0.88125, 0.87875, 0.87825, 0.88175, 0.888, 0.90425, 0.90525, 0.90375, 0.91375, 0.923, 0.9185, 0.92225, 0.922, 0.9215, 0.925, 0.92575, 0.9325, 0.9255, 0.921, 0.9175, 0.91525, 0.91825, 0.92025, 0.92825, 0.93, 0.9305, 0.9345, 0.93775, 0.936, 0.93575, 0.9345, 0.93475, 0.93275, 0.93625, 0.93875, 0.93725, 0.93675, 0.93025, 0.94, 0.939, 0.938, 0.9375, 0.937, 0.9365, 0.935, 0.935, 0.9335, 0.93475, 0.935, 0.934, 0.93325, 0.933, 0.93475, 0.93775, 0.9365, 0.9345, 0.93725, 0.9355, 0.9365, 0.93575, 0.93725, 0.937, 0.9375, 0.93675, 0.93475, 0.9335, 0.932, 0.932, 0.9325, 0.93275, 0.93, 0.93075, 0.93025, 0.931, 0.93375, 0.934, 0.935, 0.9335, 0.9355, 0.93225, 0.93425, 0.92925, 0.929, 0.9295, 0.9325, 0.93175, 0.934, 0.93225, 0.93275, 0.9315, 0.93225, 0.93275, 0.9315, 0.927, 0.928, 0.9305, 0.9315, 0.93375, 0.93475, 0.93275, 0.9305, 0.93075, 0.9305, 0.93
