no_attack, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.90025, 0.90075, 0.90325, 0.90925, 0.91575, 0.925, 0.931, 0.92975, 0.93125, 0.93, 0.93825, 0.93675, 0.936, 0.93475, 0.9395, 0.9435, 0.94225, 0.9425, 0.94725, 0.948, 0.94575, 0.94775, 0.94775, 0.94775, 0.95, 0.9495, 0.94875, 0.95025, 0.9525, 0.953, 0.953, 0.9525, 0.9525, 0.9525, 0.9505, 0.951, 0.95, 0.952, 0.952, 0.9535, 0.95425, 0.95675, 0.958, 0.95775, 0.9575, 0.95925, 0.95925, 0.95825, 0.95875, 0.957, 0.9585, 0.958, 0.957, 0.957, 0.95825, 0.95825, 0.9575, 0.96, 0.959, 0.959, 0.959, 0.9575, 0.95725, 0.95775, 0.9595, 0.96025, 0.9595, 0.9595, 0.96025, 0.9605, 0.96225, 0.961, 0.962, 0.962, 0.96125, 0.96, 0.9595, 0.96375, 0.96225, 0.96225, 0.96325, 0.962, 0.96125, 0.9625, 0.96325, 0.96275, 0.96375, 0.9635, 0.9635, 0.9645, 0.96375, 0.963, 0.96325, 0.9635, 0.9635, 0.964, 0.96425, 0.9625, 0.9635, 0.96325, 0.9635, 0.96625, 0.964, 0.96425, 0.963, 0.9635, 0.963, 0.96575, 0.96525, 0.963, 0.964, 0.9645, 0.9645
0.2backdoor, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.89975, 0.89575, 0.8675, 0.85725, 0.86075, 0.88275, 0.90125, 0.91525, 0.91325, 0.90925, 0.91275, 0.91175, 0.90875, 0.90325, 0.906, 0.8975, 0.897, 0.904, 0.909, 0.913, 0.912, 0.9135, 0.91225, 0.9125, 0.9115, 0.91325, 0.91475, 0.91525, 0.9135, 0.91575, 0.916, 0.91675, 0.91475, 0.9145, 0.9155, 0.91775, 0.91675, 0.91775, 0.921, 0.9205, 0.91925, 0.91875, 0.919, 0.916, 0.917, 0.91875, 0.9215, 0.9225, 0.92325, 0.92125, 0.9205, 0.9205, 0.9215, 0.92225, 0.92225, 0.9195, 0.92, 0.92, 0.921, 0.9255, 0.92325, 0.92275, 0.9215, 0.9225, 0.9235, 0.92375, 0.922, 0.92275, 0.9225, 0.9245, 0.92375, 0.92125, 0.92075, 0.92125, 0.92425, 0.92575, 0.92425, 0.9235, 0.9265, 0.92325, 0.92375, 0.92425, 0.925, 0.929, 0.928, 0.926, 0.92275, 0.92425, 0.925, 0.9275, 0.92825, 0.928, 0.92625, 0.9285, 0.92725, 0.92625, 0.92625, 0.92625, 0.92675, 0.92825, 0.929, 0.93075, 0.93, 0.93, 0.925, 0.929, 0.929, 0.92825, 0.92775, 0.9275, 0.93125, 0.92875, 0.92675
0.5backdoor, 0.9, 0.9, 0.9, 0.9, 0.89975, 0.873, 0.85025, 0.83525, 0.8245, 0.821, 0.819, 0.81875, 0.818, 0.818, 0.818, 0.818, 0.81825, 0.8195, 0.831, 0.83525, 0.8355, 0.8345, 0.833, 0.83225, 0.83225, 0.8325, 0.8355, 0.8345, 0.836, 0.838, 0.83775, 0.8395, 0.83825, 0.84175, 0.845, 0.8455, 0.84675, 0.84675, 0.84675, 0.8475, 0.8475, 0.84625, 0.8465, 0.8475, 0.84925, 0.84825, 0.84875, 0.84825, 0.8485, 0.849, 0.84825, 0.8485, 0.8485, 0.84875, 0.8495, 0.849, 0.8495, 0.84925, 0.84925, 0.84875, 0.849, 0.8495, 0.8495, 0.8495, 0.84975, 0.8495, 0.8495, 0.8495, 0.84925, 0.84925, 0.8495, 0.84975, 0.849, 0.84925, 0.84925, 0.84975, 0.8495, 0.8495, 0.8495, 0.8495, 0.8495, 0.8495, 0.84975, 0.8495, 0.85, 0.84975, 0.85, 0.8495, 0.8495, 0.8495, 0.8495, 0.85, 0.84975, 0.8495, 0.85, 0.84975, 0.85, 0.84975, 0.8495, 0.8505, 0.8495, 0.85025, 0.8505, 0.85, 0.85025, 0.85025, 0.85, 0.8495, 0.8505, 0.85, 0.85, 0.85, 0.8505, 0.85025, 0.85, 0.85, 0.85025, 0.85075, 0.85125, 0.8505
100_same-value_attack, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.90025, 0.90675, 0.912, 0.915, 0.92125, 0.9255, 0.92925, 0.9295, 0.92675, 0.9275, 0.93225, 0.94025, 0.9385, 0.94025, 0.9445, 0.94725, 0.94475, 0.94, 0.94525, 0.9455, 0.9495, 0.95025, 0.95075, 0.95225, 0.95175, 0.948, 0.94825, 0.948, 0.9485, 0.95, 0.95, 0.95175, 0.952, 0.95225, 0.9525, 0.9525, 0.9545, 0.95425, 0.955, 0.956, 0.956, 0.95575, 0.956, 0.95375, 0.95375, 0.95375, 0.95575, 0.955, 0.956, 0.956, 0.95575, 0.9575, 0.956, 0.9565, 0.9575, 0.9565, 0.9575, 0.9565, 0.9555, 0.9575, 0.9565, 0.958, 0.9585, 0.95875, 0.95775, 0.95775, 0.95825, 0.9585, 0.9575, 0.958, 0.95925, 0.959, 0.95925, 0.95975, 0.959, 0.95925, 0.959, 0.95725, 0.9595, 0.95975, 0.96, 0.9625, 0.9595, 0.9595, 0.95975, 0.9585, 0.9585, 0.95875, 0.961, 0.96275, 0.96075, 0.963, 0.9625, 0.9595, 0.96075, 0.96025, 0.96075, 0.96125, 0.96225, 0.963, 0.96125, 0.96225, 0.9625, 0.96, 0.9615, 0.96175, 0.9625, 0.963, 0.96375, 0.96125, 0.962
gradient-ascent_attack, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.89875, 0.88125, 0.85875, 0.83975, 0.82975, 0.82325, 0.82175, 0.819, 0.815, 0.8085, 0.80475, 0.8025, 0.8005, 0.8005, 0.80025, 0.80025, 0.8005, 0.80025, 0.80025, 0.80025, 0.80025, 0.80025, 0.80025, 0.80025, 0.80025, 0.80025, 0.80025, 0.80025, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8
random_data, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.90125, 0.90775, 0.91125, 0.919, 0.92675, 0.92775, 0.92825, 0.9285, 0.92825, 0.927, 0.935, 0.93775, 0.93675, 0.9345, 0.937, 0.9375, 0.93225, 0.934, 0.9395, 0.9415, 0.94575, 0.9455, 0.944, 0.944, 0.94325, 0.94075, 0.9445, 0.94575, 0.94725, 0.94825, 0.94875, 0.949, 0.95225, 0.954, 0.95525, 0.95275, 0.95475, 0.954, 0.953, 0.956, 0.95675, 0.95775, 0.958, 0.95575, 0.95625, 0.95875, 0.9595, 0.95875, 0.96125, 0.96075, 0.96, 0.95775, 0.95825, 0.9595, 0.96075, 0.9615, 0.96125, 0.9625, 0.95875, 0.95775, 0.95775, 0.96025, 0.9625, 0.959, 0.95975, 0.959, 0.9595, 0.96, 0.96325, 0.96175, 0.962, 0.96075, 0.9615, 0.964, 0.96475, 0.96125, 0.962, 0.96225, 0.96425, 0.964, 0.964, 0.964, 0.96125, 0.96125, 0.95925, 0.96175, 0.963, 0.96425, 0.964, 0.9625, 0.9605, 0.9615, 0.961, 0.9605, 0.96225, 0.964, 0.96575, 0.96675, 0.96475, 0.96125, 0.96125, 0.9605, 0.96, 0.959, 0.961, 0.965, 0.9645, 0.967, 0.96625, 0.9615
same_data, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9005, 0.905, 0.90725, 0.9115, 0.9145, 0.92475, 0.932, 0.9305, 0.92825, 0.92425, 0.92575, 0.93, 0.931, 0.93175, 0.9325, 0.934, 0.938, 0.94625, 0.93775, 0.94175, 0.94525, 0.948, 0.946, 0.944, 0.944, 0.943, 0.94325, 0.94775, 0.94925, 0.9515, 0.9525, 0.95375, 0.954, 0.95625, 0.9555, 0.95425, 0.95275, 0.9555, 0.956, 0.9575, 0.9565, 0.95625, 0.956, 0.958, 0.957, 0.957, 0.9575, 0.95575, 0.957, 0.95725, 0.9595, 0.9575, 0.95725, 0.95675, 0.9585, 0.95775, 0.95775, 0.959, 0.961, 0.959, 0.95975, 0.95975, 0.9595, 0.9605, 0.95925, 0.95975, 0.96, 0.96, 0.96025, 0.9595, 0.9625, 0.96125, 0.9595, 0.96125, 0.96175, 0.95925, 0.962, 0.961, 0.961, 0.96175, 0.96175, 0.962, 0.962, 0.9625, 0.96175, 0.9625, 0.96125, 0.9615, 0.963, 0.96175, 0.96375, 0.96275, 0.96275, 0.9635, 0.963, 0.96325, 0.96225, 0.96425, 0.962, 0.96325, 0.96275, 0.96275, 0.963, 0.9625, 0.964, 0.96425, 0.9635, 0.96225, 0.96225, 0.96275, 0.9635, 0.964
sign-flipping_attack, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.89975, 0.889, 0.86675, 0.84825, 0.83575, 0.83, 0.82825, 0.82325, 0.8185, 0.8145, 0.8075, 0.804, 0.803, 0.802, 0.80075, 0.80075, 0.8005, 0.80025, 0.80025, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.80025
